val,date,n,SMA30,SMA60,SMA90,SMA180,EMA,EMA0.3
181.24170418805687,2018-01-09,23,239.63324418240921,239.63324418240921,239.63324418240921,239.63324418240921,206.4066492288717,213.21923855960753
347.77315414703327,2018-01-10,24,244.13907376426855,244.13907376426855,244.13907376426855,244.13907376426855,220.54329972068786,253.58541323583523
347.23725086782974,2018-01-11,25,248.263000848411,248.263000848411,248.263000848411,248.263000848411,233.21269483540203,281.6809645254336
204.62744927106263,2018-01-12,26,246.58471040312835,246.58471040312835,246.58471040312835,246.58471040312835,230.3541702789681,258.5649099491223
306.53011846781294,2018-01-13,27,248.80491070182038,248.80491070182038,248.80491070182038,248.80491070182038,237.9717650978526,272.95447250472944
274.2998966575146,2018-01-14,28,249.71544591452374,249.71544591452374,249.71544591452374,249.71544591452374,241.6045782538188,273.358099750565
215.8549804693206,2018-01-15,29,248.54784365779258,248.54784365779258,248.54784365779258,248.54784365779258,239.02961847536898,256.10716396619165
717.8900678298286,2018-01-16,30,264.1925844635271,264.1925844635271,264.1925844635271,264.1925844635271,286.91566341081494,394.6420351252827
677.6189679409146,2018-01-17,31,283.9254681018016,277.52891941441055,277.52891941441055,277.52891941441055,325.9859938638249,479.53511496997226
282.8541531685077,2018-01-18,32,287.4221588624549,277.6953329692261,277.6953329692261,277.6953329692261,321.6728097942932,420.53082642953285
243.1232744150103,2018-01-19,33,285.8929832838246,276.6476948312196,276.6476948312196,276.6476948312196,313.8178562563649,367.3085608251761
222.1037802289216,2018-01-20,34,290.1519511911752,275.04346204879903,275.04346204879903,275.04346204879903,304.64644865362055,323.7471266462997
371.4574048301077,2018-01-21,35,259.5495135385781,277.798146128265,277.798146128265,277.798146128265,311.3275442712693,338.06021010144207
364.67569189343243,2018-01-22,36,262.5778906241114,280.2114112884085,280.2114112884085,280.2114112884085,316.6623590334856,346.04485463903916
215.3516270308513,2018-01-23,37,262.0712660033418,278.4584441463124,278.4584441463124,278.4584441463124,306.53128583322217,306.8368863565828
211.89285651091248,2018-01-24,38,261.9754960693712,276.70671815590714,276.70671815590714,276.70671815590714,297.06744290099124,278.35367740288166
234.1100291360418,2018-01-25,39,266.54902330231903,275.61449536052595,275.61449536052595,275.61449536052595,290.77170152449634,265.0805829228297
197.51750863260722,2018-01-26,40,269.0950372832937,273.66207069232803,273.66207069232803,273.66207069232803,281.4462822353074,244.81166063576296
