,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
70,2020-01-22,2557.0,1456.0,14021.0,17560.0,447.0,7352.0,16137.0,105.0,3486.0,20628.0,18358.0,17209.0,15832.0,3022.0,77.0,6682.0,326.0,12941.0,1174.0,16.0,2875.0,74.0,6449.0,320.0,0.0,11679.0,1113.0,15.0,1614335563.0,39740749.51729656,1.53327205,60874740.11168541,39702504.22982463,2186153.9175513247,2176669.893301455,0.957263259266,5.73465306,,0.0001151333528313,0.995661776522811,,0.5026672000821288,0.994870321468284,0.0001139486213264,0.0058808329369021,0.897861863331862,0.994870321468284,0.000325836028,39913904.95684665,39913904.95684665,8301456.389894525,39913904.95684665,39913904.95684665,27540282.6454178,39913904.95684665,39913904.95684665,39913904.95684665,21505903.07737428,39913904.95684665,39913904.95684665,65.282824,60608328.553899854,61139319.15622241,61139976.17645636,58527055.57282361,61121779.694087215,61139940.969426654,52098615.17007317,61035247.75038516,61139978.72320519,61139973.38376277,61139916.51409217,61138424.73703689,61116363.538174406,60997937.72854313,49846064.42434587,57581493.60104462,60381193.9995606,32128161.727801073,61137162.61673735,61114033.17344497,60983235.6794168,49545884.57592586,57521483.714862406,0.0,60320180.28695358,31128128.61738176,51771165.80223426,60853516.51193306,55854197.56864815,61139979.003995374,3807.0,0.0440625,6623.0,10661495.717763891,10615243.76673914,2084.68066996,2075.636859335137,100.0,99.5661776522811,48.71521888508747,,0.0026186991809924
71,2020-01-23,2476.0,1463.0,14182.0,17784.0,452.0,7457.0,16339.0,101.0,3522.0,20894.0,18599.0,17420.0,16018.0,3045.0,78.0,6738.0,316.0,13067.0,1183.0,16.0,2899.0,75.0,6507.0,311.0,0.0,11826.0,1128.0,15.0,1614335563.0,39280247.89093508,1.53925627,60328200.81354061,39193084.26580345,1710175.4022743963,1705452.1948621161,0.95652092846,3.84108197,,0.0001191958318566,0.997238173694933,,0.3111779677060671,0.995661776522811,0.0001151333528313,0.0059426448528664,0.89835114376957,0.995661776522811,0.000329977037,39389033.55995212,39389033.55995212,10223346.823452393,39389033.55995212,39389033.55995212,26983023.78897457,39389033.55995212,39389033.55995212,39389033.55995212,22394020.479759887,39389033.55995212,39389033.55995212,65.110922,59958832.005168445,60494615.68961481,60495275.40151868,57864999.73288899,60477045.50749909,60495239.93561525,51305768.45562891,60389958.83191723,60495277.97893105,60495272.50040296,60495214.31965718,60493696.91194217,60471292.8761889,60351918.47137314,49478518.26551273,56804941.844524816,59735356.07978887,32715623.839115005,60492455.86302798,60468982.67757259,60337317.48366374,49178338.41709272,56754931.958342604,0.0,59680351.968720295,31715590.72869569,51244466.69355806,60210326.09958425,55254623.29773789,60495278.264383525,4157.0,0.04811343,6937.0,15749541.092417704,15706043.595535932,2802.45700319,2794.7171037197704,148.38833970595752,147.97851688599238,49.555737076515314,,0.0025577122480936
72,2020-01-24,2617.0,1481.0,14467.0,18129.0,464.0,7899.0,16700.0,100.0,3590.0,21283.0,18944.0,17761.0,16308.0,3071.0,74.0,6879.0,327.0,13298.0,1199.0,16.0,2921.0,71.0,6585.0,322.0,0.0,12038.0,1146.0,15.0,1614335563.0,38916229.85853898,1.53639501,59670978.91488517,38838305.52692934,2617881.6768264878,2609946.7847218006,0.956007301082,3.00713123,,0.0001183571995561,0.996968964573561,,-0.0212508560799222,0.997238173694933,0.0001191958318566,0.0061498491658647,0.902414296960037,0.997238173694933,0.000306374323,39034544.947128646,39034544.947128646,11028080.013806025,39034544.947128646,39034544.947128646,26545579.71072631,39034544.947128646,39034544.947128646,39034544.947128646,21215277.23461491,39034544.947128646,39034544.947128646,65.218018,59314989.623510815,59851734.99451065,59852390.80009888,57219325.30741836,59835684.31565631,59852357.65246328,50587378.12016436,59747135.99674753,59852393.34439586,59852387.87455055,59852327.429472424,59850777.150686905,59828115.07046056,59706395.81229734,48507989.21514773,56168665.76465274,59092946.452881426,32358389.58340368,59849517.0816342,59825174.78730223,59691394.32359344,48207809.366727725,56118664.416485265,0.0,59039937.16466628,31358356.47298437,50587378.12016436,59569031.7213263,54538920.141097605,59852393.640366286,5916.0,0.06847222,9060.0,19903485.75490039,19843157.584467664,2722.26297508,2714.011699562449,207.0316823799518,206.4041620162629,50.50009903958301,,0.0024969543449498
73,2020-01-25,2091.0,1477.0,14591.0,18302.0,459.0,8392.0,16849.0,103.0,3595.0,21507.0,19131.0,17926.0,16453.0,3070.0,75.0,6911.0,323.0,13394.0,1199.0,16.0,2921.0,71.0,6619.0,318.0,0.0,12140.0,1149.0,15.0,1614335563.0,38068892.837825246,1.55173031,58932245.39541629,37978407.176476605,1437394.9702394153,1433737.429933629,0.955301516106,3.7066309,,0.0001195305433328,0.997455438218782,,0.4516522217514285,0.996968964573561,0.0001183571995561,0.0061447381759449,0.904493344067596,0.996968964573561,0.000264097454,38166008.604662314,38166008.604662314,9442242.341966163,38166008.604662314,38166008.604662314,26398536.87578108,38166008.604662314,38166008.604662314,38166008.604662314,13886678.357970605,38166008.604662314,38166008.604662314,64.59773,58546246.6627274,59081926.12707229,59082581.82096605,56441682.722488575,59068355.6213284,59082548.51350082,49933269.7019072,58976996.55930379,59082584.38267597,59082578.8341513,59082518.12221589,59080947.62366061,59058048.48139732,58935937.13470098,47744499.032165386,55405146.35366106,58328750.54518081,31986687.338167086,59079693.56305088,59055128.28842334,58921036.36602488,47344319.18374537,55355145.00549359,0.0,58278747.09107661,30986654.227747776,49752939.74864596,58804357.60404466,53878069.546920605,59082584.68233453,3993.0,0.04621528,6336.0,15939700.038224734,15899140.486703388,2954.69495553,2947.1765516710007,111.0,110.7175536422848,51.47494426969759,,0.002366937769429
74,2020-01-26,2198.0,1467.0,14720.0,18463.0,463.0,8599.0,17009.0,101.0,3606.0,21722.0,19304.0,18076.0,16596.0,3059.0,74.0,6930.0,317.0,13480.0,1188.0,16.0,2909.0,71.0,6641.0,312.0,0.0,12236.0,1137.0,15.0,1614335563.0,37987988.21096696,1.53774681,58222912.2475784,37862482.83059384,2058157.2548769936,2055444.7741014827,0.955665240898,4.20989764,,0.0001164796670133,0.998682082834495,,0.0374516567860735,0.997455438218782,0.0001195305433328,0.0062138449788374,0.906253599846414,0.997455438218782,0.000251582838,38038119.30133772,38038119.30133772,10047423.663334996,38038119.30133772,38038119.30133772,26245389.690249953,38038119.30133772,38038119.30133772,38038119.30133772,15291496.434303276,38038119.30133772,38038119.30133772,65.245771,57762754.02706421,58299090.29305527,58299743.60582586,55715041.26812085,58286349.25726564,58299711.092119575,49330299.54769727,58194281.80065504,58299746.17797469,58299740.54356269,58299679.74166127,58298081.50160977,58274913.40239471,58151977.877659164,47263644.99333757,54612011.904852174,57545493.56611432,31703155.95551865,58296837.45877144,58272023.330786355,58136977.55023016,46963622.41488937,54562010.556684695,0.0,57494490.11201013,30703122.845099345,49271660.05352614,58028043.59565603,53251752.2917607,58299746.484214544,4354.0,0.05039352,6995.0,13848257.485077487,13830006.62882557,2332.77780772,2329.703399803897,129.26328353270537,129.09292523246808,52.44603482839731,,0.0021648655175507
75,2020-01-27,2974.0,1497.0,14999.0,18864.0,484.0,8753.0,17351.0,104.0,3661.0,22156.0,19697.0,18441.0,16899.0,3083.0,72.0,6983.0,325.0,13660.0,1198.0,16.0,2934.0,69.0,6702.0,319.0,0.0,12428.0,1150.0,15.0,1614335563.0,38103103.88356914,1.48137077,56251265.08081675,37972441.55362817,4955164.508667107,4950068.048619064,0.955608862494,1.86967754,,0.0001122192826578,0.998971485197085,,0.2116009907972865,0.998682082834495,0.0001164796670133,0.0059744399516204,0.906270039432867,0.998682082834495,0.000259779071,38142333.83853981,38142333.83853981,11906328.96860386,38142333.83853981,38142333.83853981,26306485.22107616,38142333.83853981,38142333.83853981,38142333.83853981,15855094.374319304,38142333.83853981,38142333.83853981,67.737328,55781249.19608485,56308529.73530757,56309177.13251232,53809551.35784433,56295880.42540779,56309144.07396305,47247148.395753935,56204004.66695146,56309179.59527231,56309173.8483894,56309109.90635064,56307454.419991165,56283820.58744771,56159896.90365265,44744774.92697202,52638942.70247267,55552713.81813953,29439908.91685746,56306222.38801946,56281010.51657674,56144996.64108172,44444752.34852383,52578941.35430519,0.0,55504711.11721889,28439875.80643815,47015944.91267192,56041098.89251237,51195350.064913675,56309179.905889966,6208.0,0.07185185,9576.0,30117054.19862469,30086078.362561207,3827.09190987,3823.1556891885825,168.68,168.50651012304428,54.950876072040366,,0.0021475810754974
76,2020-01-28,3106.0,1513.0,15237.0,19159.0,468.0,8885.0,17613.0,103.0,3748.0,22503.0,20002.0,18728.0,17153.0,3161.0,70.0,7111.0,305.0,13861.0,1202.0,15.0,2998.0,67.0,6815.0,299.0,0.0,12595.0,1151.0,14.0,1614335563.0,37884037.64403391,1.48355715,56046404.03109,37778392.2228376,4106792.4583518906,4099581.7222906305,0.954332360495,1.01756008,,0.0001073682370384,0.998244192728416,,0.0312521167908063,0.998971485197085,0.0001122192826578,0.005878574277238,0.906251719475698,0.998971485197085,0.000263083227,37950671.709382735,37950671.709382735,12850561.538847046,37950671.709382735,37950671.709382735,26289853.85328553,37950671.709382735,37950671.709382735,37950671.709382735,16938476.93001576,37950671.709382735,37950671.709382735,67.594056,55604113.94967833,56144329.700809754,56144981.00833651,53580974.92163523,56131471.557434835,56144947.465714335,47567107.688214205,56038958.404791504,56144983.48841791,56144977.67059992,56144912.732143044,56143225.20716245,56119412.866769366,55994299.71295333,45003797.36443108,52386097.86442677,55366695.191534,29301400.77920013,56141959.14206842,56116452.76114308,55977998.8941388,44703617.51601107,52326096.51625929,0.0,55315692.48366775,28301367.66878082,47395471.60737383,55869476.804783374,51361101.98666493,56144983.80191236,6463.0,0.07480324,9824.0,55176087.56074133,55079208.98498462,6828.72404348,6816.734120148817,248.97,248.53285666359372,56.30643982165051,,0.0021437625696108
77,2020-01-29,3246.0,1511.0,15380.0,19392.0,478.0,8984.0,17798.0,105.0,3774.0,22805.0,20249.0,18940.0,17325.0,3177.0,73.0,7204.0,310.0,13987.0,1199.0,17.0,3020.0,70.0,6903.0,304.0,0.0,12763.0,1147.0,15.0,1614335563.0,37303125.23473617,1.50410363,55923474.41351584,37180599.38648148,2336938.096998392,2334924.2066928777,0.95526641471,1.33217921,,0.000107296377135,0.999138235493657,,0.5483184540001905,0.998244192728416,0.0001073682370384,0.0056952641505359,0.905105755768818,0.998244192728416,0.000266398865,37335299.470653675,37335299.470653675,15481013.980228744,37335299.470653675,37335299.470653675,25615629.962302636,37335299.470653675,37335299.470653675,37335299.470653675,20036984.535596423,37335299.470653675,37335299.470653675,66.703876,55424488.21444005,55971048.528288335,55971706.01626223,53467893.634115346,55958076.58744525,55971671.5263926,47265066.4098822,55863797.8433157,55971708.52526784,55971702.51193417,55971635.81541305,55969933.36676893,55945994.40307022,55818177.365833774,44781061.17691162,52243417.924723536,55187453.91831893,29701078.956002336,55968709.34544813,55942984.340631165,55802477.18263381,44481038.595619366,52183416.576556064,0.0,55135452.0863718,27701035.84558303,46973619.32157289,55696387.15610605,51172358.0408508,55971708.845558316,5971.0,0.0691088,9421.0,42015149.650964215,41978942.48626632,5815.09452672,5810.083284655843,178.87649346853496,178.7223440554447,57.45953131679909,,0.0019907696126835
78,2020-01-30,3272.0,1538.0,15576.0,19662.0,483.0,9131.0,18040.0,108.0,3851.0,23147.0,20534.0,19198.0,17554.0,3247.0,73.0,7321.0,323.0,14171.0,1214.0,16.0,3081.0,71.0,7019.0,317.0,0.0,12913.0,1161.0,14.0,1614335563.0,37239629.614788175,1.49897425,55668787.620811045,37137921.17621805,3565471.8711978146,3559951.875032002,0.954065438692,0.92090255,,0.0001050015898314,0.998451818899371,,0.4484616212314938,0.999138235493657,0.000107296377135,0.0057199259940678,0.907525517347566,0.999138235493657,0.000270314223,37297372.702309005,37297372.702309005,15358263.628435243,37297372.702309005,37297372.702309005,25551831.05383608,37297372.702309005,37297372.702309005,37297372.702309005,20013079.19231517,37297372.702309005,37297372.702309005,66.894989,55194898.832867265,55754438.143264346,55755103.75622476,53194020.25972671,55741359.38380217,55755068.63986328,46975739.46801779,55645921.70756314,55755106.29300056,55755100.16349585,55755031.921184994,55753314.01112748,55729066.19368761,55599923.07712067,44356601.43140776,52031696.89325732,54949010.10255173,28381279.385105688,55752055.9565403,55726046.08562045,55583322.435794406,44156578.852959566,51971695.54508984,0.0,54896007.39412773,26381236.27468638,46511300.40124036,55471153.33315916,50856514.9899674,55755106.62314857,7262.0,0.08405093,11371.0,60543980.88335962,60450247.83639916,6747.51958259,6737.07320029611,253.2871869227561,252.8950524869308,59.05888091464207,,0.001996889810008
79,2020-01-31,3365.0,1560.0,15784.0,20000.0,486.0,9231.0,18337.0,108.0,3902.0,23540.0,20890.0,19522.0,17825.0,3278.0,73.0,7374.0,318.0,14319.0,1229.0,15.0,3112.0,71.0,7082.0,311.0,0.0,13114.0,1177.0,13.0,1614335563.0,37094488.29762746,1.50105995,55480063.152306154,36960591.07707598,2527441.9901519846,2526509.6478497144,0.95323791587,1.05775533,,0.0001068291855521,0.999631112284316,,0.747450046338026,0.998451818899371,0.0001050015898314,0.0054188073133912,0.905424226470146,0.998451818899371,0.000274362985,37108177.048292,37108177.048292,10652209.91697152,37108177.048292,37108177.048292,25347149.666341353,37108177.048292,37108177.048292,37108177.048292,19726739.10154243,37108177.048292,37108177.048292,66.860934,54939600.333871536,55499846.873638526,55500533.72795756,52905215.85585113,55486646.47068064,55500497.706898645,46748112.11479738,55390971.75472206,55500536.287930906,55500530.02715406,55500458.91640211,55498675.969956815,55474013.204338245,55343550.740755886,44111582.294238664,51671467.42928192,54692151.41904407,27143333.710498966,55497470.9665996,55471093.1914057,55326950.65593998,43911559.71579048,51601466.08111444,0.0,54640151.041543856,25143290.60007966,46269111.21423972,55217647.860788144,50626901.358481094,55500536.618478574,6623.0,0.07665509,11028.0,52470108.1712002,52450752.59285523,6065.6194333,6063.381900803041,117.17973893831292,117.13651277209152,60.53501566382241,,0.0019708365268908
